Area,Price,Type,Size
JP Nagar Phase 7,58.0 Lac,2 BHK 1200 Sq-ft Flat/Apartment for Sale in JP Nagar Phase 7,200 sqft
JP Nagar Phase 7,62.0 Lac,3 BHK Builder Floor,200 sqft
Hegde Nagar,82.0 Lac,2 BHK 1056 Sq-ft Flat/Apartment for Sale in Leela Hotel / Mall facing,1000 sqft
Begur Road,75.0 Lac,3 BHK Builder Floor,1400 sqft
Electronic City Phase 2,40.0 Lac,3 BHK Builder Floor,1182 sqft
Hoskote Road,80.0 Lac,3 BHK 1350 Sq-ft Flat/Apartment for Sale in Hoskote Road,1200 sqft
Electronic City Phase 2,36.0 Lac,2 BHK 922 Sq-ft Flat/Apartment for Sale in Electronic City Phase 2,829 sqft
Mango Garden Layout,70.0 Lac,2 BHK 1300 Sq-ft Flat/Apartment for Sale in Mango Garden Layout,1200 sqft
Vidyaranyapura,63.0 Lac,2 BHK 1350 Sq-ft Flat/Apartment for Sale in Vidyaranyapura,1200 sqft
Borewell Road,51.0 Lac,2 BHK Builder Floor,1000 sqft
Hosur Road,38.0 Lac,3 BHK 1100 Sq-ft Flat/Apartment for Sale in Hosur Road,1100 sqft
Doddanagamangala,65.0 Lac,2 BHK 1031 Sq-ft Flat/Apartment for Sale in Doddanagamangala,927 sqft
Devanahalli,85.0 Lac,9 BHK Residential House,3200 sqft
Parappana Agrahara,75.0 Lac,3 BHK 1375 Sq-ft Flat/Apartment for Sale in Parappana Agrahara,1375 sqft
Hoskote Road,58.0 Lac,3 BHK 715 Sq-ft Flat/Apartment for Sale in Hoskote Road,620 sqft
Begur,56.0 Lac,3 BHK 1424 Sq-ft Flat/Apartment for Sale in Begur,1250 sqft
Bannerghatta Road,75.0 Lac,2 BHK Flat for sale in Bannerghatta Main Road,1000 sqft
Begur Road,63.0 Lac,2 BHK 1300 Sq-ft Flat/Apartment for Sale in Begur Road,1150 sqft
JP Nagar,1.85 Cr,3 BHK Residential House,100 sqft
Nanjappa Layout-Chamundeswari Layout,70.0 Lac,3 BHK 2000 Sq-ft Flat/Apartment for Sale in Nanjappa Layout-Chamundeswari Layout,1000 sqft
Agrahara Layout,1.35 Cr,2 BHK 1263 Sq-ft Flat/Apartment for Sale in Agrahara Dasarahalli,1100 sqft
Manjunatha Nagar-Basaveshvara Nagar,70.0 Lac,2 BHK 800 Sq-ft Flat/Apartment for Sale in Manjunatha Nagar-Basaveshvara Nagar,700 sqft
Thanisandra,89.0 Lac,3 BHK Builder Floor,1855 sqft
Magadi Road,1.80 Cr,9 BHK Villa,3400 sqft
Jivanahalli,1.22 Cr,3 BHK 1575 Sq-ft Flat/Apartment for Sale in Jivanahalli,1500 sqft
New BEL Road,1.35 Cr,2 BHK 1380 Sq-ft Flat/Apartment for Sale in New BEL Road,1200 sqft
Kannamangala,61.0 Lac,3 BHK Residential House,1000 sqft
NelaMangala,46.0 Lac,2 BHK Builder Floor,850 sqft
Hebbal Flyover,1.0 Cr,3 BHK 1480 Sq-ft Flat/Apartment for Sale in Hebbal Flyover,720 sqft
Begur Road,1.50 Cr,Residential Plot,4000 sqft
Laxmipura,90.0 Lac,Residential Plot,2100 sqft
Sidedahalli,1.80 Cr,Residential Plot,1680 sqft
Victoria Road,1.50 Cr,3 BHK Builder Floor,1600 sqft
Akshya Nagar,60.8 Lac,3 BHK Builder Floor,1300 sqft
Singasandra,60.0 Lac,3 BHK Builder Floor,1780 sqft
Horamavu,1.0 Cr,3 BHK Flat for sale in Horamavu,1609 sqft
Bannerghatta Road,1.60 Cr,3 BHK Villa,1800 sqft
Hosur Road - Electronic City,59.0 Lac,3 BHK Builder Floor,1449 sqft
Arakere,2.85 Cr,4 BHK Flat for sale in Arakere,3050 sqft
Bagalur Main Road,90.0 Lac,2 BHK Builder Floor,1150 sqft
Srirampuram,64.5 Lac,2 BHK Builder Floor,750 sqft
Hennur Main Road,73.0 Lac,2 BHK Flat for sale in Hennur Main Road,1316 sqft
Shikaripalya,61.0 Lac,3 BHK Flat for sale in Shikaripalya,1355 sqft
Kanakanagar,75.0 Lac,2 BHK 1040 Sq-ft Flat/Apartment for Sale in Kanakanagar,900 sqft
Uttarahalli,1.30 Cr,2 BHK Builder Floor,1100 sqft
Hulimavu,50.0 Lac,2 BHK 1165 Sq-ft Flat/Apartment for Sale in Hulimavu,1165 sqft
Devanahalli,51.0 Lac,2 BHK Flat for sale in Devanahalli,1000 sqft
Kanakapura Road,72.0 Lac,2 BHK 1000 Sq-ft Flat/Apartment for Sale in Kanakapura Road,900 sqft
Kanakapura Road,65.0 Lac,3 BHK Flat for sale in Kanakapura Road,1420 sqft
Yelenahalli,1.50 Cr,3 BHK 1900 Sq-ft Flat/Apartment for Sale in Yelenahalli,1900 sqft
Begur Road,70.1 Lac,3 BHK Flat for sale in Begur Road,1523 sqft
Immadihalli,60.0 Lac,2 BHK Flat for sale in Immadihalli,1185 sqft
Haralur Road,3.0 Cr,4 BHK 4300 Sq-ft Flat/Apartment for Sale in Haralur Road,3600 sqft
Unknown,100.0 Lac,3 BHK Penthouse,2000 sqft
JP Nagar Phase 5,1.75 Cr,3 BHK 1600 Sq-ft Flat/Apartment for Sale in JP Nagar Phase 5,200 sqft
Akshya Nagar,60.0 Lac,2 BHK 1293 Sq-ft Flat/Apartment for Sale in Akshayanagar,1150 sqft
Jakkuru Layout,85.0 Lac,2 BHK Flat for sale in Jakkuru Layout,1200 sqft
Electronic City Phase 2,55.0 Lac,3 BHK Flat for sale in Electronic City Phase 2,1200 sqft
Neeladri nagar,1.40 Cr,3 BHK Flat for sale in Neeladri nagar,1800 sqft
RWF West Colony,85.0 Lac,2 BHK 1040 Sq-ft Flat/Apartment for Sale in RWF West Colony,1000 sqft
Nagarbhavi Stage 2,55.0 Lac,2 BHK Builder Floor,1100 sqft
Ideal Homes Township,1.0 Cr,3 BHK 1376 Sq-ft Flat/Apartment for Sale in Ideal Homes Township,1250 sqft
Binnypete,1.31 Cr,2 BHK 1248 Sq-ft Flat/Apartment for Sale in Binnypete,1100 sqft
Industrial Layout-Begur,55.0 Lac,2 BHK Builder Floor,900 sqft
Tumkur Road,60.0 Lac,3 BHK Flat for sale in Tumkur Road,1100 sqft
Chansandra,1.60 Cr,3 BHK Residential House,1800 sqft
Anekal Main Road,25.0 Lac,2 BHK 732 Sq-ft Flat/Apartment for Sale in Anekal Main Road,732 sqft
Jalahalli West,60.0 Lac,2 BHK 906 Sq-ft Flat/Apartment for Sale in Jalahalli West,900 sqft
JP Nagar Phase 8,65.0 Lac,3 BHK 1250 Sq-ft Flat/Apartment for Sale in JP Nagar Phase 8,1150 sqft
RWF West Colony,70.0 Lac,3 BHK Builder Floor,1050 sqft
Anekal Main Road,30.0 Lac,2 BHK Builder Floor,985 sqft
Kasavanahalli,4.0 Cr,4 BHK Villa,2300 sqft
Abbigere,58.0 Lac,2 BHK Flat for sale in Abbigere,950 sqft
Hegde Nagar,55.0 Lac,2 BHK 1200 Sq-ft Flat/Apartment for Sale in Hegde Nagar,1150 sqft
Basapura,50.0 Lac,3 BHK 1350 Sq-ft Flat/Apartment for Sale in Basapura,1350 sqft
Kudlu Gate,65.0 Lac,2 BHK 980 Sq-ft Flat/Apartment for Sale in Kudlu Gate,880 sqft
Jalahalli,1.0 Cr,2 BHK Flat for sale in Jalahalli,1400 sqft
Anekal-Hosur Road,13.9 Lac,Residential Plot,1500 sqft
Uttarahalli,2.20 Cr,5 BHK Residential House,5200 sqft
Hosur Road,14.0 Lac,Residential Plot,1500 sqft
Electronic City,42.6 Lac,2 BHK Villa,852 sqft
Bharathi Nagar,80.0 Lac,2 BHK Flat for sale in Bharathi Nagar,1328 sqft
Varthur,2.03 Cr,4 BHK Villa,1400 sqft
Bommasandra Jigani Link Road,20.5 Lac,Residential Plot,1200 sqft
Unknown,1.10 Cr,4 BHK Residential House,600 sqft
Maruthi Sevanagar,85.0 Lac,2 BHK Flat for sale in Maruthi Sevanagar,1000 sqft
Kodigehalli,45.0 Lac,2 BHK 1170 Sq-ft Flat/Apartment for Sale in Kodigehalli,1170 sqft
Magadi Road Area,55.0 Lac,Residential Plot,1200 sqft
Kasavanahalli,75.0 Lac,2 BHK Flat for sale in Kasavanahalli,1140 sqft
Yelahanka,72.7 Lac,3 BHK Flat for sale in Yelahanka,1530 sqft
Panathur,69.9 Lac,2 BHK Flat for sale in Panathur,1007 sqft
Upkar Layout,62.0 Lac,2 BHK 1141 Sq-ft Flat/Apartment for Sale in Upkar Layout,1141 sqft
Tumkur Road,50.0 Lac,2 BHK Flat for sale in Tumkur Road,814 sqft
Sarjapur Road,1.0 Cr,Residential Plot,2400 sqft
Thanisandra,74.0 Lac,2 BHK Flat for sale in Thanisandra,1200 sqft
Begur,60.0 Lac,2 BHK Flat for sale in Begur,1160 sqft
Banashankari,1.40 Cr,3 BHK Flat for sale in Banashankari Stage 3,1440 sqft
Attibele,19.2 Lac,Residential Plot,1200 sqft
Sarjapur Road,1.50 Cr,Residential Plot,2275 sqft
Sarjapur Road,82.0 Lac,2 BHK Flat for sale in Sarjapur Road,1308 sqft
Sidedahalli,1.80 Cr,Residential Plot,1680 sqft
Outer Ring Road,2.59 Cr,3 BHK Flat for sale in Outer Ring Road,2666 sqft
Sarjapur Road,85.0 Lac,2 BHK Flat for sale in Sarjapur Road,1168 sqft
Sarjapur Road,75.0 Lac,2 BHK Flat for sale in Sarjapur Road,1184 sqft
Tumkur Road,71.0 Lac,2 BHK Flat for sale in Tumkur Road,800 sqft
Sarjapur Road,2.40 Cr,4 BHK Villa,2717 sqft
Belatur,1.85 Cr,4 BHK Penthouse,4370 sqft
Jalahalli,45.0 Lac,2 BHK Flat for sale in Jalahalli,850 sqft
Yelahanka,69.0 Lac,2 BHK Flat for sale in Yelahanka,1045 sqft
Electronic City Phase 2,48.8 Lac,2 BHK Flat for sale in Electronic City Phase 2,770 sqft
Hennur Main Road,81.6 Lac,3 BHK Flat for sale in Mantri webcity,1305 sqft
Devanahalli,87.0 Lac,Residential Plot,3000 sqft
Devanahalli,1.0 Cr,3 BHK Flat for sale in Devanahalli,1543 sqft
Whitefield,1.25 Cr,3 BHK Flat for sale in Whitfield,1755 sqft
Unknown,2.22 Cr,4 BHK Residential House,1800 sqft
Uttarahalli,65.0 Lac,2 BHK Flat for sale in Uttarahalli,929 sqft
Mandur,32.0 Lac,Residential Plot,2400 sqft
Hebbal,3.25 Cr,3 BHK Flat for sale in Hebbal,2526 sqft
Haralur Road,70.0 Lac,2 BHK Flat for sale in Haralur Road,1020 sqft
Sarjapur Road,85.0 Lac,Residential Plot,4242 sqft
Unknown,1.40 Cr,3 BHK Flat,1300 sqft
Somashetti Halli,58.0 Lac,3 BHK Flat/Apartment for Sale in Somashetti Halli,1320 sqft
Hennur Main Road,87.0 Lac,2 BHK Flat for sale in Hennur Main Road,1197 sqft
Dasarahalli,36.0 Lac,Residential Plot,2400 sqft
Ittamadu,2.50 Cr,4 BHK Residential House,1750 sqft
Electronic City,1.50 Cr,Residential Plot,4000 sqft
Gottigere,60.0 Lac,2 BHK 1260 Sq-ft Flat/Apartment for Sale in Gottigere,1260 sqft
Hosur Road,80.0 Lac,2 BHK Flat for sale in Hosur Road,1180 sqft
Maragondanahalli,54.0 Lac,3 BHK Residential House,700 sqft
Electronic City,62.0 Lac,Residential Plot,2045 sqft
K R Puram,1.0 Cr,2 BHK Flat for sale in K R Puram,1564 sqft
Budigere,48.0 Lac,2 BHK Flat for sale in Budigere,730 sqft
Devanahalli,49.5 Lac,Residential Plot,1500 sqft
Anekal,13.8 Lac,Residential Plot,925 sqft
Doddaballapur,35.0 Lac,Residential Plot,1350 sqft
Unknown,1.36 Cr,2 BHK Flat,1450 sqft
Unknown,68.4 Lac,3 BHK Villa,1200 sqft
Whitefield,56.0 Lac,2 BHK Builder Floor,1000 sqft
Maruthi Sevanagar,3.0 Cr,3 BHK Penthouse,2750 sqft
Hongasandra,65.0 Lac,3 BHK Flat for sale in Hongasandra,1260 sqft
Kengeri,45.0 Lac,2 BHK Flat for sale in Kengeri,1030 sqft
Bommanahalli,1.35 Cr,3 BHK Flat for sale in Bommanahalli,2600 sqft
JP Nagar,4.30 Cr,5 BHK Villa,500 sqft
Ramchandrapura,48.0 Lac,2 BHK 1070 Sq-ft Flat/Apartment for Sale in Ramchandrapura,1020 sqft
ChikkaSandra-Jalahalli West,52.5 Lac,2 BHK 1066 Sq-ft Flat/Apartment for Sale in ChikkaSandra-Jalahalli West,1066 sqft
Balagere,86.5 Lac,2 BHK Flat for sale in Balagere,997 sqft
Yelenahalli,50.0 Lac,2 BHK 940 Sq-ft Flat/Apartment for Sale in Yelenahalli,940 sqft
Jigani,1.09 Cr,3 BHK Villa,1650 sqft
Bannerghatta Road,65.0 Lac,2 BHK 1350 Sq-ft Flat/Apartment for Sale in Bannerghatta Main Road,1350 sqft
Unknown,45.0 Lac,2 BHK Flat,1120 sqft
R.K.Hegde Nagar,85.0 Lac,3 BHK 1835 Sq-ft Flat/Apartment for Sale in R.K.Hegde Nagar,1835 sqft
Devarachikannahalli,67.0 Lac,2 BHK 1175 Sq-ft Flat/Apartment for Sale in Devarachikannahalli,1057 sqft
Horamavu,72.0 Lac,2 BHK Flat for sale in Horamavu,1265 sqft
Sarjapur Road,38.5 Lac,2 BHK 943 Sq-ft Flat/Apartment for Sale in Sarjapur Road,754 sqft
Akshya Nagar,53.0 Lac,2 BHK Flat for sale in Akshya Nagar,950 sqft
Rajarajeshwari Nagar,65.8 Lac,3 BHK Flat for sale in Rajarajeshwari Nagar,921 sqft
Gunjur,36.0 Lac,2 BHK 1063 Sq-ft Flat/Apartment for Sale in Gunjur,1063 sqft
Unknown,65.0 Lac,2 BHK Flat,1168 sqft
Chandapura,23.0 Lac,2 BHK Flat for sale in Chandapura,497 sqft
RMV Extension Stage 2,95.0 Lac,3 BHK Builder Floor,1200 sqft
Rajarajeshwari Nagar,90.0 Lac,3 BHK Flat for sale in Rajarajeshwari Nagar,1440 sqft
Sarjapur-Attibele Road,46.0 Lac,2 BHK Flat for sale in Sarjapur-Attibele Road,1035 sqft
Gubbalala,1.05 Cr,3 BHK 1745 Sq-ft Flat/Apartment for Sale in Gubbalala,1550 sqft
Sarjapur Road,1.65 Cr,3 BHK Flat for sale in Sarjapur Road,1850 sqft
Electronic City,48.0 Lac,2 BHK Flat for sale in Electronic City,827 sqft
Banashankari,1.0 Cr,2 BHK Flat for sale in Raja Rajeshwari Nagar,1304 sqft
Naganathapura,50.0 Lac,2 BHK Builder Floor,1050 sqft
Bannerghatta Road,65.0 Lac,2 BHK 1350 Sq-ft Flat/Apartment for Sale in Bannerghatta Main Road,1350 sqft
Unknown,45.0 Lac,2 BHK Flat,1120 sqft
R.K.Hegde Nagar,85.0 Lac,3 BHK 1835 Sq-ft Flat/Apartment for Sale in R.K.Hegde Nagar,1835 sqft
Devarachikannahalli,67.0 Lac,2 BHK 1175 Sq-ft Flat/Apartment for Sale in Devarachikannahalli,1057 sqft
Horamavu,72.0 Lac,2 BHK Flat for sale in Horamavu,1265 sqft
Sarjapur Road,38.5 Lac,2 BHK 943 Sq-ft Flat/Apartment for Sale in Sarjapur Road,754 sqft
Akshya Nagar,53.0 Lac,2 BHK Flat for sale in Akshya Nagar,950 sqft
Rajarajeshwari Nagar,65.8 Lac,3 BHK Flat for sale in Rajarajeshwari Nagar,921 sqft
Gunjur,36.0 Lac,2 BHK 1063 Sq-ft Flat/Apartment for Sale in Gunjur,1063 sqft
Unknown,65.0 Lac,2 BHK Flat,1168 sqft
Chandapura,23.0 Lac,2 BHK Flat for sale in Chandapura,497 sqft
RMV Extension Stage 2,95.0 Lac,3 BHK Builder Floor,1200 sqft
Rajarajeshwari Nagar,90.0 Lac,3 BHK Flat for sale in Rajarajeshwari Nagar,1440 sqft
Sarjapur-Attibele Road,46.0 Lac,2 BHK Flat for sale in Sarjapur-Attibele Road,1035 sqft
Gubbalala,1.05 Cr,3 BHK 1745 Sq-ft Flat/Apartment for Sale in Gubbalala,1550 sqft
Sarjapur Road,1.65 Cr,3 BHK Flat for sale in Sarjapur Road,1850 sqft
Electronic City,48.0 Lac,2 BHK Flat for sale in Electronic City,827 sqft
Banashankari,1.0 Cr,2 BHK Flat for sale in Raja Rajeshwari Nagar,1304 sqft
Naganathapura,50.0 Lac,2 BHK Builder Floor,1050 sqft
Anekal,95.0 Lac,3 BHK Residential House,2400 sqft
Canara bank Layout,85.0 Lac,3 BHK 1485 Sq-ft Flat/Apartment for Sale in Canara bank Layout,1450 sqft
Dasarahalli,74.0 Lac,2 BHK Flat for sale in Dasarahalli,1255 sqft
Dommasandra,1.03 Cr,2 BHK Flat for sale in Dommasandra,1220 sqft
Anekal,13.5 Lac,Residential Plot,1500 sqft
Thanisandra,1.30 Cr,3 BHK Flat for sale in Thanisandra,1917 sqft
Chikkalasandra,70.0 Lac,3 BHK 1320 Sq-ft Flat/Apartment for Sale in Chikkalasandra,1320 sqft
Hosur Road - Electronic City,68.5 Lac,3 BHK 1654 Sq-ft Flat/Apartment for Sale in Hosur Road - Electronic City,1654 sqft
Marasandra,42.0 Lac,3 BHK 1180 Sq-ft Flat/Apartment for Sale in Marasandra,1180 sqft
Gottigere,40.0 Lac,2 BHK Flat for sale in Gottigere,1100 sqft
Yelachenahalli,65.0 Lac,2 BHK Builder Floor,1174 sqft
Narayanapura,1.25 Cr,2 BHK Builder Floor,1000 sqft
Whitefield,72.0 Lac,2 BHK Flat for sale in Whitefield,1255 sqft
Arakere,1.40 Cr,3 BHK Builder Floor,1650 sqft
Gunjur,75.0 Lac,2 BHK 1225 Sq-ft Flat/Apartment for Sale in Gunjur,1000 sqft
Vittasandra,1.20 Cr,4 BHK Villa,1200 sqft
Kanakapura Road,1.20 Cr,3 BHK 1800 Sq-ft Flat/Apartment for Sale in Kanakapura Road,2000 sqft
Bommasandra,35.0 Lac,2 BHK Flat for sale in Bommasandra,900 sqft
Anjana Nagar,75.0 Lac,2 BHK 1500 Sq-ft Flat/Apartment for Sale in Anjana Nagar,975 sqft
Uttarahalli,60.0 Lac,3 BHK Flat for sale in Uttarahalli,1100 sqft
Begur,65.0 Lac,2 BHK 1319 Sq-ft Flat/Apartment for Sale in Begur,1250 sqft
Roopena Agrahara,60.0 Lac,2 BHK 1050 Sq-ft Flat/Apartment for Sale in Roopena Agrahara,950 sqft
Chokkanahalli,50.0 Lac,2 BHK 1089 Sq-ft Flat/Apartment for Sale in Chokkanahalli,1089 sqft
Kengeri Hobli,50.0 Lac,3 BHK 950 Sq-ft Flat/Apartment for Sale in Kengeri Hobli,950 sqft
Nagarbhavi Circle,2.25 Cr,8 BHK Residential House,4550 sqft
Jakkur Road,60.0 Lac,2 BHK Builder Floor,620 sqft
Attibele,55.0 Lac,2 BHK Flat for sale in Attibele,1150 sqft
Unknown,1.0 Cr,6 BHK Residential House,2000 sqft
Whitefield,64.0 Lac,2 BHK Flat for sale in Whitefield,960 sqft
Bohra Layout,68.0 Lac,2 BHK 1300 Sq-ft Flat/Apartment for Sale in Bohra Layout,1209 sqft
